,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],0.205,0.16,0.0,0.494,0.003,0.002,3858.0,5472.0,1.0
alpha[1],0.608,0.178,0.274,0.907,0.003,0.002,4248.0,5300.0,1.0
alpha[2],0.186,0.092,0.025,0.353,0.001,0.001,13243.0,12241.0,1.0
theta[54023],0.603,0.999,-1.203,2.556,0.007,0.008,20507.0,12535.0,1.0
theta[54027],0.415,0.947,-1.308,2.242,0.007,0.008,17440.0,11411.0,1.0
theta[54009],0.378,0.963,-1.412,2.214,0.007,0.008,21325.0,11807.0,1.0
theta[54031],-0.065,0.958,-1.841,1.76,0.006,0.008,23918.0,11432.0,1.0
theta[54049],-0.769,0.956,-2.503,1.065,0.008,0.008,14214.0,12452.0,1.0
theta[54059],-0.452,0.942,-2.206,1.328,0.006,0.008,23447.0,12143.0,1.0
theta[54029],-0.204,0.96,-1.979,1.611,0.007,0.008,20729.0,13287.0,1.0
theta[54051],-0.203,0.94,-1.949,1.593,0.007,0.008,20837.0,11344.0,1.0
theta[54067],-0.431,0.961,-2.255,1.378,0.007,0.008,20426.0,11538.0,1.0
theta[54093],-0.098,0.973,-2.016,1.676,0.006,0.009,25385.0,11801.0,1.0
theta[54095],0.132,0.959,-1.673,1.907,0.006,0.008,25120.0,11109.0,1.0
theta[54087],0.028,0.949,-1.712,1.857,0.006,0.008,28497.0,11874.0,1.0
theta[54091],-0.004,0.957,-1.761,1.829,0.006,0.008,23040.0,12060.0,1.0
theta[54107],0.069,0.884,-1.624,1.703,0.007,0.007,15327.0,12362.0,1.0
theta[54021],-0.191,0.988,-2.065,1.659,0.006,0.009,29508.0,11286.0,1.0
theta[54053],-0.023,0.92,-1.737,1.717,0.006,0.008,26617.0,12495.0,1.0
theta[54063],-0.063,0.95,-1.803,1.75,0.006,0.008,26442.0,11858.0,1.0
theta[54073],-0.098,0.976,-1.977,1.659,0.006,0.009,27770.0,11085.0,1.0
theta[54011],0.725,0.942,-1.136,2.403,0.008,0.007,12939.0,12304.0,1.0
theta[54037],-0.291,0.952,-2.11,1.434,0.007,0.008,20714.0,11746.0,1.0
theta[54045],-0.095,0.903,-1.845,1.546,0.006,0.007,21372.0,12561.0,1.0
theta[54071],0.023,0.972,-1.827,1.852,0.006,0.009,29714.0,12010.0,1.0
theta[54033],0.107,0.899,-1.48,1.862,0.006,0.008,19587.0,11934.0,1.0
theta[54069],0.054,0.924,-1.609,1.863,0.007,0.007,19059.0,12358.0,1.0
theta[54013],0.02,0.967,-1.776,1.863,0.006,0.009,26595.0,12163.0,1.0
theta[54065],0.279,0.958,-1.517,2.081,0.007,0.008,20082.0,12682.0,1.0
theta[54081],0.568,0.854,-1.08,2.156,0.007,0.007,15164.0,11564.0,1.0
theta[54079],0.06,0.912,-1.66,1.741,0.007,0.007,16267.0,11631.0,1.0
theta[54001],-0.12,0.967,-1.86,1.787,0.006,0.009,29167.0,12117.0,1.0
theta[54047],-0.157,0.953,-1.985,1.594,0.006,0.008,21628.0,12287.0,1.0
theta[54099],0.295,0.906,-1.478,1.931,0.007,0.007,19176.0,11792.0,1.0
theta[54035],-0.322,0.935,-2.115,1.437,0.006,0.008,25314.0,11435.0,1.0
theta[54089],-0.279,0.957,-2.077,1.548,0.005,0.009,34526.0,11504.0,1.0
theta[54025],0.055,0.915,-1.723,1.753,0.006,0.008,21084.0,12162.0,1.0
theta[54057],-0.034,0.94,-1.781,1.725,0.006,0.008,24071.0,12123.0,1.0
theta[54041],0.004,0.958,-1.843,1.798,0.006,0.008,28903.0,11693.0,1.0
theta[54075],-0.195,0.978,-2.073,1.607,0.006,0.009,28301.0,11062.0,1.0
theta[54103],0.082,0.974,-1.8,1.854,0.006,0.008,23124.0,12151.0,1.0
theta[54105],-0.188,0.972,-1.972,1.638,0.006,0.008,23734.0,11763.0,1.0
theta[54015],0.136,0.958,-1.709,1.878,0.006,0.008,24262.0,11374.0,1.0
theta[54061],-0.023,0.933,-1.746,1.761,0.007,0.007,19041.0,12668.0,1.0
theta[54039],-0.266,0.846,-1.833,1.349,0.006,0.006,17877.0,13116.0,1.0
theta[54077],-0.531,0.965,-2.415,1.211,0.007,0.008,20346.0,11766.0,1.0
theta[54085],-0.156,0.988,-1.978,1.707,0.006,0.009,27592.0,11990.0,1.0
theta[54043],-0.182,0.929,-1.956,1.538,0.006,0.008,23721.0,12334.0,1.0
theta[54007],0.338,0.983,-1.505,2.146,0.006,0.009,26291.0,12123.0,1.0
theta[54005],0.722,0.942,-1.1,2.423,0.007,0.007,18707.0,12089.0,1.0
theta[54109],0.176,0.923,-1.64,1.853,0.006,0.008,27127.0,12176.0,1.0
theta[54083],-0.529,0.965,-2.282,1.357,0.007,0.008,17140.0,11288.0,1.0
theta[54055],0.133,0.875,-1.581,1.78,0.007,0.007,15820.0,11971.0,1.0
theta[54097],-0.117,0.964,-1.879,1.711,0.006,0.008,26280.0,11956.0,1.0
theta[54003],0.33,0.935,-1.415,2.09,0.007,0.008,18528.0,12068.0,1.0
theta[54019],0.168,0.886,-1.499,1.832,0.006,0.007,22841.0,12505.0,1.0
